Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,anomaly_label,anomaly_score,cluster,pred_cluster,Alert_Type
53,597,1,1,51,111,51,51,51.0,0.0,111,111,111.0,0.0,271356.783919598,3350.0837520938,597.0,0.0,597,597,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1675.0418760469,1675.0418760469,51,111,71.0,34.6410161514,1200.0,0,0,0,0,0,0,0,0,1,106.5,51.0,111.0,32,0,0,0,0,0,0,1,51,1,111,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.2217631459568432,,,
53,30926,2,2,68,158,34,34,34.0,0.0,79,79,79.0,0.0,7307.7669275044,129.3410075664,10308.6666666667,17849.072254135,30919,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,64.6705037832,64.6705037832,34,79,52.0,24.6475150877,607.5,0,0,0,0,0,0,0,0,1,65.0,34.0,79.0,64,0,0,0,0,0,0,2,68,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.2301946791779909,,,
443,47,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42553.1914893617,47.0,0.0,47,47,47,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0,0,0,64,0,42553.1914893617,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1324,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22550944851886434,,,
53,70788,2,2,88,664,44,44,44.0,0.0,332,332,332.0,0.0,10623.2694807029,56.5067525569,23596.0,40863.4086806277,70781,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,28.2533762785,28.2533762785,44,332,159.2,157.7440965615,24883.2,0,0,0,0,0,0,0,0,1,199.0,44.0,332.0,64,0,0,0,0,0,0,2,88,2,664,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.1896842871295209,,,
443,117276581,20,23,16056,7463,5520,0,802.8,1554.228581712,1430,0,324.4782608696,545.2529746128,200.5430223107,0.3666546179,2792299.54761905,12572894.8584605,58690978,1,117276581,6172451.63157895,18399572.7062396,58767772,3,117183138,5326506.27272727,17181970.535622,58727583,1,0,0,0,0,412,472,0.1705370316,0.1961175863,0,5520,534.5227272727,1132.7823225003,1283195.79016913,0,0,0,1,0,0,0,0,1,546.9534883721,802.8,324.4782608696,412,0,0,0,0,0,0,20,16056,23,7463,8192,597,19,20,246035.5,215645.64795168,398520,93551,58345480.0,488607.95737278,58690978,57999982,BENIGN,-1,-0.034921296266616775,,,
36702,1441,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1387.9250520472,1441.0,0.0,1441,1441,1441,1441.0,0.0,1441,1441,0,0.0,0.0,0,0,0,0,0,0,64,0,1387.9250520472,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,126,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22405540184000816,,,
53,31018,2,2,70,126,35,35,35.0,0.0,63,63,63.0,0.0,6318.9115997163,128.957379586,10339.3333333333,17904.7865760342,31014,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,64.478689793,64.478689793,35,63,46.2,15.3362316101,235.2,0,0,0,0,0,0,0,0,1,57.75,35.0,63.0,64,0,0,0,0,0,0,2,70,2,126,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.23044374087731678,,,
53,61399,2,2,68,690,34,34,34.0,0.0,345,345,345.0,0.0,12345.4779393801,65.1476408411,20466.3333333333,35364.7247173413,61302,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,80,64,32.5738204205,32.5738204205,34,345,158.4,170.3417153841,29016.3,0,0,0,0,0,0,0,0,1,198.0,34.0,345.0,80,0,0,0,0,0,0,2,68,2,690,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.18745894373356997,,,
80,13134,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,152.2765342,13134.0,0.0,13134,13134,13134,13134.0,0.0,13134,13134,0,0.0,0.0,0,0,0,0,0,0,64,0,152.2765342,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22410608018410222,,,
80,10118155,5,5,1503,800,1448,0,300.6,641.858084003,800,0,160.0,357.7708764,227.6106661738,0.9883224758,1124239.44444444,3328210.4718159,9999378,187,118777,29694.25,21766.4767379412,53379,612,10086080,2521520.0,4985375.67337875,9999579,21107,0,0,0,0,172,168,0.4941612379,0.4941612379,0,1448,209.3636363636,475.1383530567,225756.454545455,0,0,0,1,0,0,0,0,1,230.3,300.6,160.0,172,0,0,0,0,0,0,5,1503,5,800,65535,58,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.13358902808715795,,,
53,31257,2,2,76,108,38,38,38.0,0.0,54,54,54.0,0.0,5886.6813833701,127.9713344211,10419.0,18042.7732901569,31253,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,64,64,63.9856672105,63.9856672105,38,54,44.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,55.5,38.0,54.0,64,0,0,0,0,0,0,2,76,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.23082974684014645,,,
56013,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.15948279724654263,,,
51551,41,3,1,43,6,31,6,14.3333333333,14.4337567297,6,6,6.0,0.0,1195121.95121951,97560.9756097561,13.6666666667,20.231987874,37,1,4,2.0,1.4142135624,3,1,0,0.0,0.0,0,0,0,0,0,0,60,20,73170.7317073171,24390.243902439,6,31,11.0,11.1803398875,125.0,0,0,0,0,1,0,0,0,0,13.75,14.3333333333,6.0,60,0,0,0,0,0,0,3,43,1,6,1676,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.21106669131718336,,,
53,313,2,2,88,344,44,44,44.0,0.0,172,172,172.0,0.0,1380191.69329073,12779.552715655,104.3333333333,174.6491721519,306,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,6389.7763578275,6389.7763578275,44,172,95.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,119.0,44.0,172.0,64,0,0,0,0,0,0,2,88,2,344,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.21170184970783124,,,
53,237,2,2,64,220,32,32,32.0,0.0,110,110,110.0,0.0,1198312.23628692,16877.6371308017,79.0,135.0999629904,235,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,8438.8185654009,8438.8185654009,32,110,63.2,42.7223594854,1825.2,0,0,0,0,0,0,0,0,1,79.0,32.0,110.0,64,0,0,0,0,0,0,2,64,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22568723821719205,,,
59196,680216,6,2,11607,26,5840,0,1934.5,2992.388862,20,6,13.0,9.899494937,17101.92057,11.76097004,97173.71429,256754.0516,679437,3,680216,136043.2,303766.4755,679437,4,3,3.0,0.0,3,3,0,0,0,0,144,40,8.820727534,2.940242511,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13.0,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.03130172660014996,,,
443,39,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,948717.948717949,51282.0512820513,39.0,0.0,39,39,39,39.0,0.0,39,39,0,0.0,0.0,0,0,1,0,0,0,64,0,51282.0512820513,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,33285,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.18430245846157683,,,
45763,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.19700342161095513,,,
33646,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,179,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.19789135708887123,,,
53024,93,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21505.376344086,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10752.688172043,10752.688172043,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,229,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.20619869629348153,,,
123,27260,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3521.6434336024,73.3675715334,27260.0,0.0,27260,27260,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,36.6837857667,36.6837857667,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,20,0,0,0,0,0,0,1,48,1,48,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22572492999260835,,,
53,31135,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,12847.2779829774,128.4727798298,10378.3333333333,17969.7384603486,31128,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,64,64.2363899149,64.2363899149,36,164,87.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,40,0,0,0,0,0,0,2,72,2,328,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22223051382260534,,,
53,47988,4,2,176,202,44,44,44.0,0.0,101,101,101.0,0.0,7876.9692423106,125.0312578145,9597.6,14979.1873878392,34165,3,34171,11390.3333333333,19723.439896056,34165,3,3,3.0,0.0,3,3,0,0,0,0,104,64,83.3541718763,41.6770859382,44,101,60.2857142857,27.813152079,773.5714285714,0,0,0,0,0,0,0,0,0,70.3333333333,44.0,101.0,104,0,0,0,0,0,0,4,176,2,202,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.21908249817669367,,,
443,11026121,7,6,1630,2402,1324,0,232.8571428571,488.5858602714,1460,0,400.3333333333,601.218983954,365.677104396,1.1790184418,918843.416666667,3127852.29562719,10850861,120,11026121,1837686.83333333,4415634.25140522,10850861,140,124514,24902.8,25370.7576098941,51203,186,0,0,0,0,152,132,0.634856084,0.5441623577,0,1460,288.0,512.8772532713,263043.076923077,0,0,0,1,0,0,0,0,0,310.1538461538,232.8571428571,400.3333333333,152,0,0,0,0,0,0,7,1630,6,2402,8192,85,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.15308947996879135,,,
80,34679366,7,7,805,880,775,0,115.0,291.041234192,868,0,125.7142857143,327.3294539582,48.5879701492,0.4036982683,2667643.53846154,4331556.7606041,10002364,168,30211604,5035267.33333333,5441520.53801927,10052807,203,34628701,5771450.16666667,4956693.30428218,10055722,1590,0,0,0,0,152,188,0.2018491342,0.2018491342,0,868,112.3333333333,288.4712579559,83215.6666666667,0,0,0,1,0,0,0,0,1,120.3571428571,115.0,125.7142857143,152,0,0,0,0,0,0,7,805,7,880,8192,223,6,20,101922.333333333,89213.322689682,204937,50387,9968612.33333333,56357.9955492859,10002364,9903551,BENIGN,1,0.15949080383680464,,,
53,23830,2,2,80,202,40,40,40.0,0.0,101,101,101.0,0.0,11833.8229122954,167.855644146,7943.3333333333,13752.1947460517,23823,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,83.927822073,83.927822073,40,101,64.4,33.4110760078,1116.3,0,0,0,0,0,0,0,0,1,80.5,40.0,101.0,64,0,0,0,0,0,0,2,80,2,202,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.2302341777742683,,,
80,5071258,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7887589233,1690419.33333333,2895922.800526,5034275,30,5071258,2535629.0,3533619.06076928,5034275,36983,0,0.0,0.0,0,0,0,0,0,0,104,40,0.5915691925,0.1971897308,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,42408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.17814478212422635,,,
53,21149856,2,2,98,261,57,41,49.0,11.313708499,143,118,130.5,17.6776695297,16.9741108403,0.1891265832,7049952.0,12131871.3959679,21058620,30812,21089432,21089432.0,0.0,21089432,21089432,21119044,21119044.0,0.0,21119044,21119044,0,0,0,0,64,40,0.0945632916,0.0945632916,41,143,80.0,47.3919824443,2246.0,0,0,0,0,0,0,0,0,1,100.0,49.0,130.5,64,0,0,0,0,0,0,2,98,2,261,-1,-1,1,32,30812.0,0.0,30812,30812,21058620.0,0.0,21058620,21058620,BENIGN,1,0.11826892970876868,,,
443,52718,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,227.6262377177,37.9377062863,52718.0,0.0,52718,52718,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18.9688531431,18.9688531431,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,0,176,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.21728514361270573,,,
443,116550634,31,31,1161,29460,526,0,37.4516129032,130.257907939,2896,0,950.3225806452,1143.6268735066,262.7270135656,0.5319576383,1910666.13114754,3896015.09910007,10028370,1,116550634,3885021.13333333,4862839.79168735,10051936,1,111187941,3706264.7,4906705.14565935,10052608,1,0,0,0,0,1000,1000,0.2659788191,0.2659788191,0,2896,486.0476190476,923.7214953229,853261.400921659,0,0,0,1,0,0,0,0,1,493.8870967742,37.4516129032,950.3225806452,1000,0,0,0,0,0,0,31,1161,31,29460,29200,972,4,32,81195.5,197619.689303608,708719,23566,9631357.08333333,1351795.99033942,10028370,5338908,BENIGN,1,0.05057808034175215,,,
51035,1318896,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,27.29555628,4.549259381,263779.2,573959.1764,1290388,3,0,0.0,0.0,0,0,1296980,324245.0,644099.9626,1290388,3,0,0,0,0,20,100,0.758209897,3.791049484,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.16646146181000532,,,
60555,30,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,400000.0,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33333.33333,33333.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,290,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.19947070476297857,,,
443,50159491,12,14,1156,7168,734,0,96.3333333333,214.2773620306,1633,0,512.0,681.6126804527,165.9506473062,0.5183465678,2006379.64,4060495.72483253,10000474,3,40282374,3662034.0,5049188.71211909,10040606,85,50113185,3854860.38461538,5056760.74311887,10046796,3,0,0,0,0,252,340,0.2392368774,0.2791096903,0,1633,308.2962962963,546.3137880246,298458.754985755,0,0,0,1,0,0,0,0,1,320.1538461538,96.3333333333,512.0,252,0,0,0,0,0,0,12,1156,14,7168,8192,242,11,20,68917.6,50973.8489256992,160102,45924,9962980.0,73896.8689221675,10000474,9830870,BENIGN,1,0.14818495145412813,,,
53,31121,2,2,82,138,41,41,41.0,0.0,69,69,69.0,0.0,7069.1815815687,128.5305742103,10373.6666666667,17961.6555565831,31114,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,64.2652871052,64.2652871052,41,69,52.2,15.3362316101,235.2,0,0,0,0,0,0,0,0,1,65.25,41.0,69.0,40,0,0,0,0,0,0,2,82,2,138,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.23305990494071077,,,
80,115206708,16,14,377,390,293,0,23.5625,71.8655863401,384,0,27.8571428571,102.5174335214,6.6575984447,0.2604015037,3972645.10344828,4869305.89631448,10012830,100,115206708,7680447.2,4182633.3613796,10050947,134,110510703,8500823.30769231,3764153.46143254,10051179,315,0,0,0,0,332,424,0.138880802,0.1215207017,0,384,24.7419354839,84.6301631579,7162.264516129,0,0,0,1,0,0,0,0,0,25.5666666667,23.5625,27.8571428571,332,0,0,0,0,0,0,16,377,14,390,8192,946,15,20,47168.0909090909,26475.9568569468,126855,38115,9999266.27272727,16920.9258617304,10012830,9950674,BENIGN,1,0.1261166204668247,,,
443,257,3,1,18,0,6,6,6.0,0.0,0,0,0.0,0.0,70038.9105058366,15564.2023346303,85.6666666667,114.2205468965,216,3,257,128.5,177.4838020778,254,3,0,0.0,0.0,0,0,0,0,0,0,60,32,11673.1517509728,3891.0505836576,0,6,4.8,2.683281573,7.2,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,60,0,0,0,0,0,0,3,18,1,0,0,147,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.214531478976613,,,
63055,246825,2,3,37,18,37,0,18.5,26.1629509039,6,6,6.0,0.0,222.8299402411,20.2572672946,61706.25,123355.168332138,246739,1,246825,246825.0,0.0,246825,246825,50,25.0,33.941125497,49,1,0,0,0,0,64,60,8.1029069179,12.1543603768,0,37,9.1666666667,13.948715592,194.5666666667,0,0,0,0,1,0,0,0,1,11.0,18.5,6.0,64,0,0,0,0,0,0,2,37,3,18,65,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.20257424623006975,,,
